,stormNumber,initial_phase,main_phase,minimumSymH,end_recovery_phase,min_SYM_H,ifCME,ifHSS,ifcomplex,Unnamed: 9,new_begining_times,new_ending_times
0,0,1995-01-17 06:40:00,1995-01-17 20:08:00,1995-01-18 06:31:00,1995-01-20 00:50:00,-106,,HSS,,,1995-01-17 07:08:00,1995-01-20 00:50:00
1,1,1995-01-28 05:43:00,1995-01-29 03:51:00,1995-01-29 23:06:00,1995-02-05 21:48:00,-55,,HSS,,,1995-01-28 14:51:00,1995-02-01 23:06:00
2,2,1995-02-07 17:15:00,1995-02-07 22:08:00,1995-02-08 09:50:00,1995-02-10 01:11:00,-93,ICME,,,,1995-02-07 17:15:00,1995-02-10 01:11:00
3,3,1995-02-10 22:40:00,1995-02-11 06:17:00,1995-02-13 14:37:00,1995-02-16 21:54:00,-53,ICME,HSS,complex,,1995-02-10 22:40:00,1995-02-16 14:37:00
4,4,1995-03-03 22:43:00,1995-03-04 12:13:00,1995-03-04 21:57:00,1995-03-07 06:53:00,-93,ICME,,,,1995-03-03 23:13:00,1995-03-07 06:53:00
5,5,1995-03-11 04:56:00,1995-03-11 18:16:00,1995-03-12 03:35:00,1995-03-15 01:28:00,-73,,HSS,,,1995-03-11 05:16:00,1995-03-15 01:28:00
6,6,1995-03-25 14:02:00,1995-03-26 08:39:00,1995-03-26 14:00:00,1995-03-30 07:14:00,-99,ICME,,,,1995-03-25 19:39:00,1995-03-29 14:00:00
7,7,1995-04-01 13:40:00,1995-04-01 17:21:00,1995-04-02 04:35:00,1995-04-04 14:03:00,-73,ICME,HSS,,,1995-04-01 13:40:00,1995-04-04 14:03:00
8,8,1995-04-06 06:27:00,1995-04-07 02:10:00,1995-04-07 16:24:00,1995-04-15 22:32:00,-163,ICME,HSS,complex,,1995-04-06 13:10:00,1995-04-10 16:24:00
9,9,1995-04-21 22:44:00,1995-04-22 12:52:00,1995-04-23 10:00:00,1995-04-26 03:53:00,-52,,HSS,,,1995-04-21 23:52:00,1995-04-26 03:53:00
10,10,1995-05-01 15:46:00,1995-05-02 03:16:00,1995-05-03 06:18:00,1995-05-10 15:11:00,-75,,HSS,,,1995-05-01 15:46:00,1995-05-06 06:18:00
11,11,1995-05-15 16:11:00,1995-05-16 11:03:00,1995-05-16 22:21:00,1995-05-22 10:05:00,-93,,HSS,,,1995-05-15 22:03:00,1995-05-19 22:21:00
12,12,1995-05-23 04:09:00,1995-05-23 20:10:00,1995-05-24 05:42:00,1995-05-26 07:17:00,-78,,HSS,,,1995-05-23 07:10:00,1995-05-26 07:17:00
13,13,1995-05-29 01:56:00,1995-05-29 19:37:00,1995-06-01 05:26:00,1995-06-05 20:43:00,-55,,HSS,,,1995-05-29 06:37:00,1995-06-04 05:26:00
14,14,1995-06-30 08:02:00,1995-06-30 13:49:00,1995-07-01 01:50:00,1995-07-02 12:00:00,-55,,,,,1995-06-30 08:02:00,1995-07-02 12:00:00
15,15,1995-07-16 07:06:00,1995-07-16 14:03:00,1995-07-17 00:25:00,1995-07-21 01:28:00,-63,,HSS,,,1995-07-16 07:06:00,1995-07-20 00:25:00
16,16,1995-07-23 19:45:00,1995-07-24 04:20:00,1995-07-24 20:25:00,1995-07-28 00:39:00,-79,ICME,HSS,complex,,1995-07-23 19:45:00,1995-07-27 20:25:00
17,17,1995-08-22 11:08:00,1995-08-22 14:39:00,1995-08-23 04:34:00,1995-08-23 20:34:00,-58,ICME,,,,1995-08-22 11:08:00,1995-08-23 20:34:00
18,18,1995-09-04 12:28:00,1995-09-04 21:33:00,1995-09-05 20:28:00,1995-09-10 17:00:00,-66,,HSS,,,1995-09-04 12:28:00,1995-09-08 20:28:00
19,19,1995-09-14 16:58:00,1995-09-15 01:38:00,1995-09-15 11:05:00,1995-09-18 02:11:00,-57,ICME,HSS,complex,,1995-09-14 16:58:00,1995-09-18 02:11:00
20,20,1995-09-27 07:21:00,1995-09-27 11:28:00,1995-09-27 20:17:00,1995-10-01 02:43:00,-114,ICME,,,,1995-09-27 07:21:00,1995-09-30 20:17:00
21,21,1995-10-01 13:16:00,1995-10-02 07:21:00,1995-10-04 13:14:00,1995-10-11 00:42:00,-94,,HSS,complex,,1995-10-01 18:21:00,1995-10-07 13:14:00
22,22,1995-10-18 10:54:00,1995-10-18 13:46:00,1995-10-19 05:17:00,1995-10-19 18:41:00,-125,ICME,,,,1995-10-18 10:54:00,1995-10-19 18:41:00
